,Contrato,Situação
PLAZA BH-0,40****12,pendente
PLAZA BH-1,061********0003,pendente
PLAZA BH-2,40****29,pendente
PLAZA BH-3,061********0105,pendente
PLAZA BH-4,40****58,pendente
AMERICAS COPA-0,41****55,pendente
AMERICAS COPA-1,41****90,pendente
AMERICAS COPA-2,41****30,pendente
AMERICAS COPA-3,41****97,pendente
AMERICAS COPA-4,42****32,pendente
AMERICAS COPA-5,42****13,pendente
AMERICAS COPA-7,42****89,pendente
AMERICAS COPA-8,42****42,pendente
GAIVOTA-0,42****32,pendente
GAIVOTA-1,42****13,pendente
GAIVOTA-3,42****89,pendente
GAIVOTA-4,42****42,pendente
GAIVOTA-5,41****55,pendente
GAIVOTA-6,41****16,pendente
GAIVOTA-7,41****92,pendente
GAIVOTA-8,41****24,pendente
B&B SP-0,42****32,pendente
B&B SP-1,42****13,pendente
B&B SP-3,42****89,pendente
B&B SP-4,42****42,pendente
B&B SP-5,41****55,pendente
B&B SP-6,41****16,pendente
B&B SP-7,41****92,pendente
B&B SP-8,41****24,pendente
B&B COPA-0,42****32,pendente
B&B COPA-1,42****13,pendente
B&B COPA-3,42****89,pendente
B&B COPA-4,42****42,pendente
B&B COPA-5,41****55,pendente
B&B COPA-6,41****16,pendente
B&B COPA-7,41****92,pendente
B&B COPA-8,41****24,pendente
BENIDORM-0,41****55,pendente
BENIDORM-1,41****16,pendente
BENIDORM-2,41****92,pendente
BENIDORM-3,41****24,pendente
BENIDORM-5,42****60,pendente
BENIDORM-7,42****09,pendente
BENIDORM-9,42****14,pendente
BENIDORM-10,42****38,pendente
BENIDORM-13,42****13,pendente
BENIDORM-14,42****45,pendente
BENIDORM-15,42****70,pendente
BENIDORM-16,42****17,pendente
BENIDORM-19,42****21,pendente
BENIDORM-20,42****72,pendente
MARRIOT-0,41****42,pendente
MARRIOT-2,41****83,pendente
MARRIOT-3,050*******3501,pendente
MARRIOT-4,41****34,pendente
MARRIOT-5,41****72,pendente
COPA SUL-0,41****53,pendente
COPA SUL-1,41****61,pendente
COPA SUL-2,41****00,pendente
COPA SUL-3,41****28,pendente
COPA SUL-4,41****78,pendente
COPA SUL-5,41****72,pendente
COPA SUL-6,41****25,pendente
COPA SUL-7,41****79,pendente
COPA SUL-8,41****21,pendente
COPA SUL-9,41****55,pendente
COPA SUL-10,41****96,pendente
COPA SUL-11,41****38,pendente
COPA SUL-12,41****51,pendente
COPA SUL-13,41****24,pendente
COPA SUL-14,41****19,pendente
COPA SUL-15,41****07,pendente
COPA SUL-16,39****13,pendente
COPA SUL-17,41****92,pendente
COPA SUL-18,39****04,pendente
COPA SUL-19,39****60,pendente
COPA SUL-20,42****32,pendente
COPA SUL-21,42****13,pendente
COPA SUL-23,42****89,pendente
COPA SUL-24,42****42,pendente
SHERATON RECIFE-0,40****85,pendente
SHERATON RECIFE-1,40****65,pendente
SHERATON RECIFE-2,40****02,pendente
SHERATON RECIFE-3,40****14,pendente
KLEINVILLE-0,41****52,pendente
KLEINVILLE-1,41****65,pendente
KLEINVILLE-2,41****75,pendente
KLEINVILLE-3,42****32,pendente
KLEINVILLE-4,42****13,pendente
KLEINVILLE-6,42****89,pendente
KLEINVILLE-7,42****42,pendente
REAL HOTEL-6,40****12,pendente
REAL HOTEL-7,061********0003,pendente
REAL HOTEL-8,40****29,pendente
REAL HOTEL-9,061********0105,pendente
REAL HOTEL-10,40****58,pendente
GRANADA-0,40****12,pendente
GRANADA-1,061********0003,pendente
GRANADA-2,40****29,pendente
GRANADA-3,061********0105,pendente
GRANADA-4,40****58,pendente
GRANADA-5,42****43,pendente
GRANADA-6,42****87,pendente
GRANADA-7,42****21,pendente
GRANADA-8,42****32,pendente
GRANADA-9,42****13,pendente
GRANADA-11,42****89,pendente
GRANADA-12,42****42,pendente
GRANADA-13,42****08,pendente
GRANADA-14,42****76,pendente
GRANADA-15,42****17,pendente
GRANADA-16,42****59,pendente
VERMONT-0,42****08,pendente
VERMONT-1,42****76,pendente
VERMONT-2,42****17,pendente
VERMONT-3,42****59,pendente
VERMONT-4,42****82,pendente
VERMONT-5,42****87,pendente
VERMONT-6,42****22,pendente
VERMONT-7,42****90,pendente
MENGO-0,41****46,pendente
MENGO-1,41****73,pendente
MENGO-2,41****50,pendente
MENGO-3,41****83,pendente
PEDRO-0,40****16,pendente
LANCASTER-0,42****85,pendente
LANCASTER-1,42****43,pendente
LANCASTER-2,42****74,pendente
LANCASTER-3,42****51,pendente
LANCASTER-4,42****82,pendente
LANCASTER-5,42****87,pendente
LANCASTER-6,42****22,pendente
LANCASTER-7,42****90,pendente
NOBILE JPG-0,42****82,pendente
NOBILE JPG-1,42****87,pendente
NOBILE JPG-2,42****22,pendente
NOBILE JPG-3,42****90,pendente
NOBILE JPG-4,41****92,pendente
NOBILE JPG-5,42****55,pendente
NOBILE JPG-6,41****86,pendente
WINDSOR CALIFORNIA-0,42****82,pendente
WINDSOR CALIFORNIA-1,42****87,pendente
WINDSOR CALIFORNIA-2,42****22,pendente
WINDSOR CALIFORNIA-3,42****90,pendente
WINDSOR CALIFORNIA-4,41****92,pendente
WINDSOR CALIFORNIA-5,42****55,pendente
WINDSOR CALIFORNIA-6,41****86,pendente
HOTEL REGINA-0,42****52,pendente
HOTEL REGINA-1,42****37,pendente
HOTEL REGINA-2,42****66,pendente
HOTEL REGINA-4,42****03,pendente
HOTEL REGINA-5,42****82,pendente
HOTEL REGINA-6,42****87,pendente
HOTEL REGINA-7,42****22,pendente
HOTEL REGINA-8,42****90,pendente
HOTEL REGINA-9,41****39,pendente
HOTEL REGINA-10,41****13,pendente
HOTEL REGINA-11,41****50,pendente
HOTEL REGINA-12,41****60,pendente
MAJESTIC-0,42****32,pendente
MAJESTIC-1,42****13,pendente
MAJESTIC-3,42****89,pendente
MAJESTIC-4,42****42,pendente
MAJESTIC-5,42****45,pendente
MAJESTIC-6,42****70,pendente
MAJESTIC-7,42****17,pendente
NITERÓI DOR-0,42****13,pendente
NITERÓI DOR-1,42****45,pendente
NITERÓI DOR-2,42****70,pendente
NITERÓI DOR-3,42****17,pendente
NITERÓI DOR-4,42****25,pendente
NITERÓI DOR-5,42****28,pendente
NITERÓI DOR-6,42****31,pendente
NITERÓI DOR-7,42****35,pendente
COPA DOR-0,42****25,pendente
COPA DOR-1,42****28,pendente
COPA DOR-2,42****31,pendente
COPA DOR-3,42****35,pendente
COPA DOR-4,42****08,pendente
COPA DOR-5,42****76,pendente
COPA DOR-6,42****17,pendente
COPA DOR-7,42****59,pendente
COPA DOR-8,40****85,pendente
COPA DOR-9,40****65,pendente
COPA DOR-10,40****02,pendente
COPA DOR-11,40****14,pendente
IBIS MONTENEGRO RS-0,40****85,pendente
IBIS MONTENEGRO RS-1,40****65,pendente
IBIS MONTENEGRO RS-2,40****02,pendente
IBIS MONTENEGRO RS-3,40****14,pendente
IBIS MONTENEGRO RS-4,42****82,pendente
IBIS MONTENEGRO RS-5,42****87,pendente
IBIS MONTENEGRO RS-6,42****22,pendente
IBIS MONTENEGRO RS-7,42****90,pendente
COPA STAR-0,42****82,pendente
COPA STAR-1,42****87,pendente
COPA STAR-2,42****22,pendente
COPA STAR-3,42****90,pendente
COPA STAR-4,41****45,pendente
COPA STAR-5,41****33,pendente
COPA STAR-6,41****84,pendente
COPA STAR-7,41****19,pendente
RADISSON BARRA-0,41****45,pendente
RADISSON BARRA-1,41****33,pendente
RADISSON BARRA-2,41****84,pendente
RADISSON BARRA-3,41****19,pendente
RADISSON BARRA-4,42****13,pendente
RADISSON BARRA-5,42****45,pendente
RADISSON BARRA-6,42****70,pendente
RADISSON BARRA-7,42****17,pendente
HOSP CRIANÇA-0,41****45,pendente
HOSP CRIANÇA-1,41****33,pendente
HOSP CRIANÇA-2,41****84,pendente
HOSP CRIANÇA-3,41****19,pendente
HOSP CRIANÇA-4,42****13,pendente
HOSP CRIANÇA-5,42****45,pendente
HOSP CRIANÇA-6,42****70,pendente
HOSP CRIANÇA-7,42****17,pendente
GLÓRIA DOR-0,41****45,pendente
GLÓRIA DOR-1,41****33,pendente
GLÓRIA DOR-2,41****84,pendente
GLÓRIA DOR-3,41****19,pendente
GLÓRIA DOR-4,42****13,pendente
GLÓRIA DOR-5,42****45,pendente
GLÓRIA DOR-6,42****70,pendente
GLÓRIA DOR-7,42****17,pendente
B&B UBERLÂNDIA -0,42****13,pendente
B&B UBERLÂNDIA -1,42****45,pendente
B&B UBERLÂNDIA -2,42****70,pendente
B&B UBERLÂNDIA -3,42****17,pendente
B&B UBERLÂNDIA -5,42****60,pendente
B&B UBERLÂNDIA -7,42****09,pendente
B&B UBERLÂNDIA -9,42****14,pendente
B&B UBERLÂNDIA -10,42****38,pendente
HOUSI SP-0,41****87,pendente
HOUSI SP-1,41****96,pendente
HOUSI SP-2,41****09,pendente
HOUSI SP-3,41****43,pendente
HOUSI SP-4,42****25,pendente
HOUSI SP-5,42****28,pendente
HOUSI SP-6,42****31,pendente
HOUSI SP-7,42****35,pendente
JFL SP-0,42****34,pendente
JFL SP-1,42****44,pendente
JFL SP-2,42****49,pendente
JFL SP-3,42****81,pendente
JFL SP-4,42****08,pendente
JFL SP-5,42****76,pendente
JFL SP-6,42****17,pendente
JFL SP-7,42****59,pendente
RIO VERMELHO GO-0,41****97,pendente
RIO VERMELHO GO-1,41****99,pendente
RIO VERMELHO GO-2,23*****048,pendente
RIO VERMELHO GO-3,41****55,pendente
RIO VERMELHO GO-4,41****70,pendente
RIO VERMELHO GO-5,41****01,pendente
RIO VERMELHO GO-6,42****09,pendente
RIO VERMELHO GO-7,41****12,pendente
RIO VERMELHO GO-8,42****49,pendente
MAIONE GO-0,42****17,pendente
MAIONE GO-1,42****20,pendente
MAIONE GO-2,42****21,pendente
MAIONE GO-3,42****15,pendente
MAIONE GO-4,41****10,pendente
MAIONE GO-5,41****82,pendente
MAIONE GO-6,41****54,pendente
MAIONE GO-7,41****99,pendente
CONFORT UBER-0,41****59,pendente
CONFORT UBER-1,41****61,pendente
CONFORT UBER-2,41****69,pendente
CONFORT UBER-3,41****16,pendente
BEB SP-0,41****59,pendente
BEB SP-1,41****61,pendente
BEB SP-2,41****69,pendente
BEB SP-3,41****16,pendente
EXECUTIVE IN UBER-0,41****91,pendente
EXECUTIVE IN UBER-1,41****07,pendente
EXECUTIVE IN UBER-2,41****41,pendente
EXECUTIVE IN UBER-3,41****03,pendente
GRAND EXECUTIVE-0,41****39,pendente
GRAND EXECUTIVE-1,41****89,pendente
GRAND EXECUTIVE-2,41****30,pendente
GRAND EXECUTIVE-3,41****83,pendente
DOM SOLLIEVO PR-0,41****37,pendente
DOM SOLLIEVO PR-1,41****32,pendente
DOM SOLLIEVO PR-2,41****84,pendente
DOM SOLLIEVO PR-3,41****71,pendente
BARRA DOR-0,41****37,pendente
BARRA DOR-1,41****32,pendente
BARRA DOR-2,41****84,pendente
BARRA DOR-3,41****71,pendente
MIRASSOL-0,41****01,pendente
MIRASSOL-1,42****09,pendente
MIRASSOL-2,41****12,pendente
MIRASSOL-3,42****49,pendente
MIRASSOL-4,41****39,pendente
MIRASSOL-5,41****13,pendente
MIRASSOL-6,41****50,pendente
MIRASSOL-7,41****60,pendente
CRYSTAL GO-0,41****48,pendente
CRYSTAL GO-1,41****05,pendente
CRYSTAL GO-2,10*****321,pendente
CRYSTAL GO-3,41****68,pendente
CRYSTAL GO-4,41****36,pendente
CRYSTAL GO-5,41****10,pendente
CRYSTAL GO-6,41****82,pendente
CRYSTAL GO-7,41****54,pendente
CRYSTAL GO-8,41****99,pendente
LE JARDIM CALDAS-0,41****10,pendente
LE JARDIM CALDAS-1,41****82,pendente
LE JARDIM CALDAS-2,41****54,pendente
LE JARDIM CALDAS-3,41****99,pendente
HILTON GO-0,41****10,pendente
HILTON GO-1,41****82,pendente
HILTON GO-2,41****54,pendente
HILTON GO-3,41****99,pendente
ELEGANCE-1,41****13,pendente
ELEGANCE-2,41****78,pendente
ELEGANCE-3,41****02,pendente
FLUMINENSE-1,42****62,pendente
FLUMINENSE-3,050********9403,pendente
FLUMINENSE-5,41****33,pendente
FLUMINENSE-6,41****86,pendente
FLUMINENSE-8,41****28,pendente
FLUMINENSE-9,41****10,pendente
FLUMINENSE-10,41****82,pendente
FLUMINENSE-11,41****54,pendente
FLUMINENSE-12,41****99,pendente
MIRADOR-1,42****62,pendente
MIRADOR-3,050********9403,pendente
MIRADOR-5,41****33,pendente
MIRADOR-6,41****86,pendente
MIRADOR-8,41****28,pendente
MIRADOR-9,41****10,pendente
MIRADOR-10,41****82,pendente
MIRADOR-11,41****54,pendente
MIRADOR-12,41****99,pendente
COMFORT GO-0,41****68,pendente
COMFORT GO-2,41****60,pendente
COMFORT GO-3,41****01,pendente
COMFORT GO-4,41****32,pendente
COMFORT GO-5,41****10,pendente
COMFORT GO-6,41****82,pendente
COMFORT GO-7,41****54,pendente
COMFORT GO-8,41****99,pendente
MERCURE E IBIS PEPE-0,41****10,pendente
MERCURE E IBIS PEPE-1,41****82,pendente
MERCURE E IBIS PEPE-2,41****54,pendente
MERCURE E IBIS PEPE-3,41****99,pendente
MERCURE E IBIS PEPE-4,40****12,pendente
MERCURE E IBIS PEPE-5,061********0003,pendente
MERCURE E IBIS PEPE-6,40****29,pendente
MERCURE E IBIS PEPE-7,061********0105,pendente
MERCURE E IBIS PEPE-8,40****58,pendente
RITZ COPACABANA-0,41****92,pendente
RITZ COPACABANA-1,42****55,pendente
RITZ COPACABANA-2,41****86,pendente
HOTEL GLÓRIA MG-0,42****59,pendente
HOTEL GLÓRIA MG-1,42****63,pendente
HOTEL GLÓRIA MG-2,20*****826,pendente
HOTEL GLÓRIA MG-3,42****20,pendente
HOTEL GLÓRIA MG-4,42****30,pendente
HOTEL GLÓRIA MG-5,42****25,pendente
HOTEL GLÓRIA MG-6,42****83,pendente
HOTEL GLÓRIA MG-7,42****02,pendente
HOTEL GLÓRIA MG-8,41****10,pendente
HOTEL GLÓRIA MG-9,41****82,pendente
HOTEL GLÓRIA MG-10,41****54,pendente
HOTEL GLÓRIA MG-11,41****99,pendente
ORLA COPACABANA-0,41****10,pendente
ORLA COPACABANA-1,41****82,pendente
ORLA COPACABANA-2,41****54,pendente
ORLA COPACABANA-3,41****99,pendente
ORLA COPACABANA-4,40****12,pendente
ORLA COPACABANA-5,061********0003,pendente
ORLA COPACABANA-6,40****29,pendente
ORLA COPACABANA-7,061********0105,pendente
ORLA COPACABANA-8,40****58,pendente
RITZ LEBLON-0,42****56,pendente
RITZ LEBLON-1,41****36,pendente
RITZ LEBLON-2,42****64,pendente
RITZ LEBLON-5,42****53,pendente
RONDÔNIA-0,41****81,pendente
RONDÔNIA-1,41****32,pendente
RONDÔNIA-2,41****94,pendente
RONDÔNIA-3,41****22,pendente
RONDÔNIA-4,20*****285,pendente
PAMPULHA - MG-0,41****91,pendente
PAMPULHA - MG-1,41****02,pendente
PAMPULHA - MG-2,41****05,pendente
PAMPULHA - MG-3,41****41,pendente
HOTEL ICARAÍ-0,41****31,pendente
HOTEL ICARAÍ-1,080********1403,pendente
HOTEL ICARAÍ-2,41****47,pendente
HOTEL ICARAÍ-3,41****80,pendente
HOTEL ICARAÍ-4,41****73,pendente
HOTEL ICARAÍ-5,080********2305,pendente
HOTEL ICARAÍ-6,080********4202,pendente
HOTEL ICARAÍ-7,41****53,pendente
HOTEL ICARAÍ-8,41****61,pendente
HOTEL ICARAÍ-9,41****00,pendente
HOTEL ICARAÍ-10,41****28,pendente
HOTEL ICARAÍ-11,41****41,pendente
HOTEL ICARAÍ-12,41****64,pendente
HOTEL ICARAÍ-13,42****25,pendente
HOTEL ICARAÍ-14,42****40,pendente
HOTEL ICARAÍ-15,42****56,pendente
HOTEL ICARAÍ-16,41****36,pendente
HOTEL ICARAÍ-17,42****64,pendente
HOTEL ICARAÍ-20,42****53,pendente
CHA PRIME - PR-0,41****39,pendente
CHA PRIME - PR-1,41****13,pendente
CHA PRIME - PR-2,41****50,pendente
CHA PRIME - PR-3,41****60,pendente
CHA PRIME - PR-4,41****91,pendente
CHA PRIME - PR-5,41****02,pendente
CHA PRIME - PR-6,41****05,pendente
CHA PRIME - PR-7,41****41,pendente
CHA PRIME - PR-8,41****64,pendente
CHA PRIME - PR-9,42****25,pendente
CHA PRIME - PR-10,42****40,pendente
ATLÂNTICO SUL-0,41****39,pendente
ATLÂNTICO SUL-1,41****13,pendente
ATLÂNTICO SUL-2,41****50,pendente
ATLÂNTICO SUL-3,41****60,pendente
ATLÂNTICO SUL-4,41****91,pendente
ATLÂNTICO SUL-5,41****02,pendente
ATLÂNTICO SUL-6,41****05,pendente
ATLÂNTICO SUL-7,41****41,pendente
ATLÂNTICO SUL-8,41****64,pendente
ATLÂNTICO SUL-9,42****25,pendente
ATLÂNTICO SUL-10,42****40,pendente
CLARION - GO-0,41****57,pendente
CLARION - GO-1,41****95,pendente
CLARION - GO-2,42****70,pendente
CLARION - GO-3,41****34,pendente
ALPHAPARK-0,41****58,pendente
ALPHAPARK-1,41****91,pendente
ALPHAPARK-2,41****92,pendente
ALPHAPARK-3,41****63,pendente
ALPHAPARK-4,41****39,pendente
ALPHAPARK-5,41****13,pendente
ALPHAPARK-6,41****50,pendente
ALPHAPARK-7,41****60,pendente
OLINDA-0,41****95,pendente
OLINDA-1,41****61,pendente
OLINDA-2,41****38,pendente
OLINDA-3,41****98,pendente
BRISTOL - GO-0,41****95,pendente
BRISTOL - GO-1,41****61,pendente
BRISTOL - GO-2,41****38,pendente
BRISTOL - GO-3,41****98,pendente
VIVENCE - TO-0,41****40,pendente
VIVENCE - TO-1,41****94,pendente
VIVENCE - TO-2,41****47,pendente
VIVENCE - TO-3,41****99,pendente
VIVENCE - TO-4,42****08,pendente
VIVENCE - TO-5,42****76,pendente
VIVENCE - TO-6,42****17,pendente
VIVENCE - TO-7,42****59,pendente
COMFORT - GO-0,41****21,pendente
COMFORT - GO-1,41****55,pendente
COMFORT - GO-2,41****96,pendente
COMFORT - GO-3,41****38,pendente
COMFORT - GO-4,42****08,pendente
COMFORT - GO-5,42****76,pendente
COMFORT - GO-6,42****17,pendente
COMFORT - GO-7,42****59,pendente
COMFORT - GO-9,42****62,pendente
COMFORT - GO-11,050********9403,pendente
COMFORT - GO-13,41****33,pendente
COMFORT - GO-14,41****86,pendente
COMFORT - GO-16,41****28,pendente
LOVE TIME-0,41****54,pendente
LOVE TIME-1,41****18,pendente
LOVE TIME-2,41****96,pendente
LOVE TIME-3,41****73,pendente
CLUBE 500-1,21****65,pendente
CLUBE 500-2,19****65,pendente
CLUBE 500-3,41****10,pendente
CLUBE 500-4,41****60,pendente
CLUBE 500-5,41****21,pendente
CLUBE 500-6,19****31,pendente
CLUBE 500-7,41****78,pendente
CLUBE 500-8,41****72,pendente
CLUBE 500-9,41****25,pendente
CLUBE 500-10,41****79,pendente
CLUBE 500-11,41****15,pendente
CLUBE 500-12,41****29,pendente
CLUBE 500-13,41****22,pendente
CLUBE 500-14,41****71,pendente
CLUBE 500-15,41****06,pendente
CLUBE 500-16,41****93,pendente
CLUBE 500-17,41****80,pendente
CLUBE 500-18,41****38,pendente
SAIONARA-0,41****53,pendente
SAIONARA-2,41****37,pendente
SAIONARA-3,41****80,pendente
SAIONARA-4,41****03,pendente
VIDA PLAZA - DF-0,41****51,pendente
VIDA PLAZA - DF-1,41****24,pendente
VIDA PLAZA - DF-2,41****19,pendente
VIDA PLAZA - DF-3,41****07,pendente
ALLEGRO - GO-0,41****31,pendente
ALLEGRO - GO-1,41****89,pendente
ALLEGRO - GO-2,41****74,pendente
ALICANTE-1,41****16,pendente
ALICANTE-2,41****78,pendente
ALICANTE-3,41****18,pendente
ALICANTE-4,41****57,pendente
ALICANTE-5,41****08,pendente
ALICANTE-6,41****09,pendente
INTERCITY - AN-0,41****31,pendente
INTERCITY - AN-1,41****36,pendente
INTERCITY - AN-2,41****98,pendente
INTERCITY - AN-3,41****88,pendente
INTERCITY - AN-4,41****89,pendente
INTERCITY - AN-5,41****74,pendente
INTERCITY - AN-6,41****59,pendente
INTERCITY - AN-7,41****61,pendente
INTERCITY - AN-8,41****69,pendente
INTERCITY - AN-9,41****16,pendente
INTERCITY - AN-10,42****08,pendente
INTERCITY - AN-11,42****76,pendente
INTERCITY - AN-12,42****17,pendente
INTERCITY - AN-13,42****59,pendente
QUALITY BARRA-0,41****99,pendente
QUALITY BARRA-1,41****08,pendente
QUALITY BARRA-2,41****69,pendente
QUALITY BARRA-5,41****53,pendente
QUALITY BARRA-6,41****09,pendente
LAGUNA - DF-0,41****33,pendente
LAGUNA - DF-1,41****73,pendente
LAGUNA - DF-2,41****13,pendente
LAGUNA - DF-3,41****54,pendente
LAGUNA - DF-4,41****08,pendente
LAGUNA - DF-5,41****09,pendente
LAGUNA - DF-6,41****41,pendente
LAGUNA - DF-7,41****64,pendente
LAGUNA - DF-8,42****25,pendente
LAGUNA - DF-9,42****40,pendente
SOFT BELÉM-0,41****65,pendente
SOFT BELÉM-1,41****13,pendente
SOFT BELÉM-2,41****52,pendente
SOFT BELÉM-3,41****96,pendente
SOFT BELÉM-4,41****55,pendente
SOFT BELÉM-5,41****16,pendente
SOFT BELÉM-6,41****92,pendente
SOFT BELÉM-7,41****24,pendente
SOFT BELÉM-8,41****08,pendente
SOFT BELÉM-9,41****09,pendente
LOCANDA-0,41****65,pendente
LOCANDA-1,41****13,pendente
LOCANDA-2,41****52,pendente
LOCANDA-3,41****96,pendente
LOCANDA-4,41****55,pendente
LOCANDA-5,41****16,pendente
LOCANDA-6,41****92,pendente
LOCANDA-7,41****24,pendente
LOCANDA-8,41****08,pendente
LOCANDA-9,41****09,pendente
RITZ PLAZA - JF-0,41****79,pendente
RITZ PLAZA - JF-1,41****48,pendente
RITZ PLAZA - JF-2,41****33,pendente
RITZ PLAZA - JF-3,41****85,pendente
MANAIRA - PB-0,41****41,pendente
MANAIRA - PB-1,41****08,pendente
MANAIRA - PB-2,41****98,pendente
MANAIRA - PB-3,41****20,pendente
MANAIRA - PB-4,41****00,pendente
MANAIRA - PB-5,41****46,pendente
