40050341,187.17,84600000001 4 87170369000 2 00000000000 0 08179542098 3
40185260,437.36,84610000004 7 37360369000 0 00000000000 0 08179652098 9
40206094,412.26,84660000004 2 12260369000 1 00000000000 0 08179732098 3
40594008,102.35,84690000001 5 02350369000 2 00000000000 0 08680292098 2
40594038,136.69,84610000001 3 36690369000 1 00000000000 0 08680562098 5
40601816,102.35,84690000001 5 02350369000 2 00000000000 0 08680052098 2
39781460,97.17,84670000000 9 97170369000 0 00000000000 0 08684212098 1
40806908,163.86,84620000001 2 63860369000 6 00000000000 0 08680772098 1
40873050,84.97,84650000000 1 84970369000 8 00000000000 0 08439062098 1
40873050,84.97,84650000000 1 84970369000 8 00000000000 0 08439062098 1
40873105,84.97,84600000000 6 84970369000 8 00000000000 0 08439182098 6
39781460,97.17,84670000000 9 97170369000 0 00000000000 0 08684212098 1
40873105,84.97,84600000000 6 84970369000 8 00000000000 0 08439182098 6
40873156,84.97,84630000000 3 84970369000 8 00000000000 0 08439262098 9
40873156,84.97,84630000000 3 84970369000 8 00000000000 0 08439262098 9
40873347,84.97,84610000000 5 84970369000 8 00000000000 0 08444132098 7
40873347,84.97,84610000000 5 84970369000 8 00000000000 0 08444132098 7
41090803,87.71,84660000000 0 87710369000 5 00000000000 0 08179862098 5
41222900,123.34,84660000001 8 23340369000 8 00000000000 0 08595382098 3
41222992,123.34,84600000001 4 23340369000 8 00000000000 0 08595552098 7
41223003,166.08,84610000001 3 66080369000 8 00000000000 0 08595692098 8
41223038,148.09,84660000001 8 48090369000 0 00000000000 0 08595822098 1
41264487,136.85,84670000001 7 36850369000 1 00000000000 0 09024152098 1
41264596,151.09,84620000001 2 51090369000 4 00000000000 0 09024382098 3
41264609,120.76,84620000001 2 20760369000 0 00000000000 0 09024602098 7
41264643,162.61,84620000001 2 62610369000 6 00000000000 0 09024772098 1
41312292,189.90,84640000001 0 89900369000 0 00000000000 0 08684412098 9
41312292,189.90,84640000001 0 89900369000 0 00000000000 0 08684412098 9
41318359,162.61,84600000001 4 62610369000 6 00000000000 0 08195112098 9
41318361,151.09,84680000001 6 51090369000 4 00000000000 0 08195252098 9
41318369,149.88,84630000001 1 49880369000 3 00000000000 0 08195322098 5
41337294,110.76,84650000001 9 10760369000 2 00000000000 0 08192722098 8
41347727,202.93,84620000002 0 02930369000 1 00000000000 0 09024982098 7
41347763,149.88,84670000001 7 49880369000 3 00000000000 0 09025292098 9
41347767,221.85,84660000002 6 21850369000 8 00000000000 0 09025552098 4
41347794,120.76,84690000001 5 20760369000 0 00000000000 0 09025792098 4
41347953,120.76,84680000001 6 20760369000 0 00000000000 0 08196462098 3
41347961,120.76,84650000001 9 20760369000 0 00000000000 0 08196622098 0
41360783,120.76,84630000001 1 20760369000 0 00000000000 0 08439412098 8
41360836,136.85,84600000001 4 36850369000 1 00000000000 0 08439572098 4
41360871,162.61,84630000001 1 62610369000 6 00000000000 0 08439632098 2
41360913,162.61,84610000001 3 62610369000 6 00000000000 0 08439782098 0
41360955,120.76,84680000001 6 20760369000 0 00000000000 0 08439862098 3
41368579,120.76,84690000001 5 20760369000 0 00000000000 0 09025982098 4
41381205,120.76,84630000001 1 20760369000 0 00000000000 0 08596062098 8
41381251,120.76,84610000001 3 20760369000 0 00000000000 0 08596262098 6
41381268,120.76,84640000001 0 20760369000 0 00000000000 0 08596442098 9
41381336,202.93,84640000002 8 02930369000 1 00000000000 0 08596582098 9
41407665,162.61,84670000001 7 62610369000 6 00000000000 0 08596692098 6
41407700,136.85,84620000001 2 36850369000 1 00000000000 0 08596882098 6
41407754,151.09,84620000001 2 51090369000 4 00000000000 0 08597032098 3
41407762,110.76,84600000001 4 10760369000 2 00000000000 0 08597222098 3
41408616,114.90,84600000001 4 14900369000 0 00000000000 0 08195462098 5
41417492,129.90,84640000001 0 29900369000 3 00000000000 0 08180372098 6
41417492,129.90,84640000001 0 29900369000 3 00000000000 0 08180372098 6
41417586,104.90,84660000001 8 04900369000 2 00000000000 0 08180452098 9
41417586,104.90,84660000001 8 04900369000 2 00000000000 0 08180452098 9
41419792,84.90,84690000000 7 84900369000 5 00000000000 0 08180552098 8
41419792,84.90,84690000000 7 84900369000 5 00000000000 0 08180552098 8
41437436,64.90,84610000000 5 64900369000 9 00000000000 0 08891432098 6
41437936,64.90,84670000000 9 64900369000 9 00000000000 0 08891592098 2
41437965,64.90,84680000000 8 64900369000 9 00000000000 0 08891732098 3
41438093,84.90,84680000000 8 84900369000 5 00000000000 0 08894302098 7
41443567,64.90,84610000000 5 64900369000 9 00000000000 0 08634972098 6
41449700,164.90,84610000001 3 64900369000 9 00000000000 0 08196682098 7
41458144,64.90,84650000000 1 64900369000 9 00000000000 0 08679312098 0
41458519,64.90,84600000000 6 64900369000 9 00000000000 0 08679432098 5
41458530,129.90,84690000001 5 29900369000 3 00000000000 0 08665542098 1
41458543,269.80,84690000002 3 69800369000 6 00000000000 0 08679552098 9
41461506,64.90,84620000000 4 64900369000 9 00000000000 0 08200062098 7
41461546,144.80,84620000001 2 44800369000 6 00000000000 0 08200142098 1
41461612,129.90,84610000001 3 29900369000 3 00000000000 0 08200272098 3
41461624,114.90,84650000001 9 14900369000 0 00000000000 0 08195582098 0
41461678,84.90,84640000000 2 84900369000 5 00000000000 0 08597412098 3
41461725,164.90,84600000001 4 64900369000 9 00000000000 0 08597542098 6
41461749,84.90,84670000000 9 84900369000 5 00000000000 0 08597732098 6
41461826,104.90,84610000001 3 04900369000 2 00000000000 0 08597882098 4
41462703,114.90,84650000001 9 14900369000 0 00000000000 0 08526232098 0
41462758,84.90,84610000000 5 84900369000 5 00000000000 0 08526372098 0
41462838,164.90,84670000001 7 64900369000 9 00000000000 0 08526452098 3
41467199,84.90,84670000000 9 84900369000 5 00000000000 0 08192872098 6
41467258,99.90,84680000000 8 99900369000 8 00000000000 0 08437642098 4
41467313,169.90,84690000001 5 69900369000 4 00000000000 0 08437802098 0
41467595,114.90,84600000001 4 14900369000 0 00000000000 0 08193012098 5
41467649,129.90,84610000001 3 29900369000 3 00000000000 0 08193162098 3
41467832,114.90,84610000001 3 14900369000 0 00000000000 0 08437962098 6
41467874,129.90,84630000001 1 29900369000 3 00000000000 0 08438102098 5
41470229,64.90,84680000000 8 64900369000 9 00000000000 0 08525322098 3
41470248,64.90,84650000000 1 64900369000 9 00000000000 0 08525432098 0
41470296,129.90,84650000001 9 29900369000 3 00000000000 0 08525492098 7
41470357,114.90,84630000001 1 14900369000 0 00000000000 0 08525582098 8
41475403,64.90,84620000000 4 64900369000 9 00000000000 0 08437052098 7
41475472,64.90,84690000000 7 64900369000 9 00000000000 0 08437162098 4
41475526,129.90,84670000001 7 29900369000 3 00000000000 0 08437282098 9
41475622,84.90,84690000000 7 84900369000 5 00000000000 0 08437432098 8
41475810,64.90,84650000000 1 64900369000 9 00000000000 0 08685012098 0
41475999,64.90,84630000000 3 64900369000 9 00000000000 0 08685162098 8
41476157,149.90,84630000001 1 49900369000 9 00000000000 0 08195732098 9
41476195,84.90,84680000000 8 84900369000 5 00000000000 0 08195882098 7
41476234,84.90,84660000000 0 84900369000 5 00000000000 0 08195942098 5
41476338,129.90,84610000001 3 29900369000 3 00000000000 0 08685282098 3
41476381,114.90,84670000001 7 14900369000 0 00000000000 0 08685432098 2
41477858,119.90,84630000001 1 19900369000 5 00000000000 0 08598022098 3
41477863,129.90,84600000001 4 29900369000 3 00000000000 0 08558092098 2
41477891,84.90,84640000000 2 84900369000 5 00000000000 0 08598212098 3
41477892,84.90,84670000000 9 84900369000 5 00000000000 0 08598342098 6
41478306,64.90,84660000000 0 64900369000 9 00000000000 0 08191762098 1
41478365,129.90,84660000001 8 29900369000 3 00000000000 0 08191922098 8
41478458,114.90,84620000001 2 14900369000 0 00000000000 0 08192012098 7
41478519,84.90,84690000000 7 84900369000 5 00000000000 0 08192102098 8
41478895,129.90,84650000001 9 29900369000 3 00000000000 0 08680982098 7
41478938,84.90,84670000000 9 84900369000 5 00000000000 0 08681122098 6
41478961,114.90,84650000001 9 14900369000 0 00000000000 0 08681292098 0
41478998,104.90,84690000001 5 04900369000 2 00000000000 0 08681472098 2
41481071,64.90,84650000000 1 64900369000 9 00000000000 0 08200572098 0
41481369,64.90,84640000000 2 64900369000 9 00000000000 0 08192242098 9
41481483,84.90,84650000000 1 84900369000 5 00000000000 0 08192312098 4
41481568,164.90,84670000001 7 64900369000 9 00000000000 0 08192362098 3
41481671,114.90,84670000001 7 14900369000 0 00000000000 0 08192462098 2
41481701,118.21,84670000001 7 18210369000 0 00000000000 0 08180632098 2
41483603,129.90,84660000001 8 29900369000 3 00000000000 0 08287902098 8
41483648,119.90,84690000001 5 19900369000 5 00000000000 0 08288032098 9
41483702,84.90,84640000000 2 84900369000 5 00000000000 0 08288152098 3
41483740,104.90,84670000001 7 04900369000 2 00000000000 0 08288262098 0
41484821,129.90,84650000001 9 29900369000 3 00000000000 0 08196732098 7
41484855,84.90,84630000000 3 84900369000 5 00000000000 0 08363212098 2
41484896,104.90,84640000001 0 04900369000 2 00000000000 0 08363332098 7
41495254,164.90,84660000001 8 64900369000 9 00000000000 0 08196042098 2
41495296,84.90,84640000000 2 84900369000 5 00000000000 0 08196132098 3
41495373,114.90,84630000001 1 14900369000 0 00000000000 0 08196202098 8
41495418,129.70,84640000001 0 29700369000 7 00000000000 0 08196232098 2
41512310,164.90,84660000001 8 64900369000 9 00000000000 0 08180772098 2
41512421,84.90,84640000000 2 84900369000 5 00000000000 0 08180862098 3
41513060,84.90,84620000000 4 84900369000 5 00000000000 0 08180922098 1
41522837,129.90,84680000001 6 29900369000 3 00000000000 0 08439972098 0
41523303,84.90,84620000000 4 84900369000 5 00000000000 0 08436852098 1
41523428,84.90,84610000000 5 84900369000 5 00000000000 0 08200382098 0
41523453,104.90,84620000001 2 04900369000 2 00000000000 0 08440082098 5
41523638,129.90,84640000001 0 29900369000 3 00000000000 0 08363432098 6
41524580,84.90,84690000000 7 84900369000 5 00000000000 0 08440212098 8
41541316,174.90,84630000001 1 74900369000 7 00000000000 0 08196852098 1
41541357,94.90,84640000000 2 94900369000 3 00000000000 0 08196932098 5
41541378,114.90,84620000001 2 14900369000 0 00000000000 0 08197052098 7
41541418,94.90,84640000000 2 94900369000 3 00000000000 0 08197112098 5
41547531,94.90,84670000000 9 94900369000 3 00000000000 0 08440352098 8
41547588,129.90,84610000001 3 29900369000 3 00000000000 0 08440472098 3
41547636,139.90,84680000001 6 39900369000 1 00000000000 0 08440572098 2
41547698,94.90,84600000000 6 94900369000 3 00000000000 0 08440722098 1
41552518,94.90,84620000000 4 94900369000 3 00000000000 0 08192602098 3
41552518,94.90,84620000000 4 94900369000 3 00000000000 0 08192602098 3
41553153,119.90,84600000001 4 19900369000 5 00000000000 0 08181012098 0
41553199,209.80,84680000002 4 09800369000 9 00000000000 0 08181082098 5
41553269,84.90,84640000000 2 84900369000 5 00000000000 0 08181142098 3
41553308,104.90,84690000001 5 04900369000 2 00000000000 0 08181242098 2
41553408,84.90,84660000000 0 84900369000 5 00000000000 0 08200452098 5
41556033,94.90,84680000000 8 94900369000 3 00000000000 0 08196342098 9
41556073,129.90,84680000001 6 29900369000 3 00000000000 0 08196432098 0
41556113,139.90,84630000001 1 39900369000 1 00000000000 0 08196492098 7
41556154,94.90,84650000000 1 94900369000 3 00000000000 0 08196592098 6
41556209,94.90,84660000000 0 94900369000 3 00000000000 0 08200492098 7
41562465,94.90,84600000000 6 94900369000 3 00000000000 0 08764592098 1
41562513,174.90,84610000001 3 74900369000 7 00000000000 0 08603362098 9
41562596,114.90,84610000001 3 14900369000 0 00000000000 0 08603712098 6
41570008,189.90,84690000001 5 89900369000 0 00000000000 0 08197162098 4
41570008,189.90,84690000001 5 89900369000 0 00000000000 0 08197162098 4
41574284,64.90,84680000000 8 64900369000 9 00000000000 0 08683782098 3
41574340,119.90,84680000001 6 19900369000 5 00000000000 0 08683902098 8
41574360,139.90,84690000001 5 39900369000 1 00000000000 0 08684012098 3
41574455,94.90,84660000000 0 94900369000 3 00000000000 0 08197292098 7
41574516,94.90,84660000000 0 94900369000 3 00000000000 0 08195262098 7
41574592,94.90,84600000000 6 94900369000 3 00000000000 0 08195342098 1
41591339,64.90,84680000000 8 64900369000 9 00000000000 0 09022352098 3
41591385,124.90,84670000001 7 24900369000 8 00000000000 0 09022492098 4
41596277,139.90,84660000001 8 39900369000 1 00000000000 0 08681672098 0
41596319,114.90,84620000001 2 14900369000 0 00000000000 0 08681832098 7
41596363,94.90,84600000000 6 94900369000 3 00000000000 0 08681952098 1
41596401,94.90,84670000000 9 94900369000 3 00000000000 0 08682052098 8
41598179,174.90,84670000001 7 74900369000 7 00000000000 0 08840372098 5
41598233,94.90,84600000000 6 94900369000 3 00000000000 0 08840582098 1
41598248,94.90,84630000000 3 94900369000 3 00000000000 0 08886442098 4
41598285,114.90,84630000001 1 14900369000 0 00000000000 0 08886612098 8
41603641,64.90,84600000000 6 64900369000 9 00000000000 0 08440892098 5
41603698,129.90,84640000001 0 29900369000 3 00000000000 0 08440982098 6
41603708,139.90,84610000001 3 39900369000 1 00000000000 0 08441072098 5
41603720,94.90,84620000000 4 94900369000 3 00000000000 0 08441132098 3
41603800,94.90,84640000000 2 94900369000 3 00000000000 0 09051102098 5
41603846,114.90,84660000001 8 14900369000 0 00000000000 0 09051262098 1
41603955,94.90,84610000000 5 94900369000 3 00000000000 0 09051352098 2
41606620,64.90,84680000000 8 64900369000 9 00000000000 0 08840762098 3
41606678,94.90,84650000000 1 94900369000 3 00000000000 0 08840942098 6
41606726,94.90,84670000000 9 94900369000 3 00000000000 0 08841062098 8
41606760,174.90,84610000001 3 74900369000 7 00000000000 0 08841202098 9
41606845,94.90,84650000000 1 94900369000 3 00000000000 0 09022672098 6
41606890,94.90,84600000000 6 94900369000 3 00000000000 0 09022842098 1
41606993,94.90,84640000000 2 94900369000 3 00000000000 0 09051482098 5
41609624,114.90,84670000001 7 14900369000 0 00000000000 0 08197362098 2
41628105,139.90,84670000001 7 39900369000 1 00000000000 0 08682182098 1
41628220,204.90,84660000002 6 04900369000 2 00000000000 0 08682332098 0
41628324,179.90,84690000001 5 79900369000 2 00000000000 0 08682462098 2
41628404,94.90,84640000000 2 94900369000 3 00000000000 0 08682592098 5
41632734,129.90,84690000001 5 29900369000 3 00000000000 0 08742622098 1
41632783,139.90,84690000001 5 39900369000 1 00000000000 0 08742802098 3
41632818,94.90,84650000000 1 94900369000 3 00000000000 0 08742882098 6
41632860,64.90,84600000000 6 64900369000 9 00000000000 0 08743022098 5
41679241,139.90,84630000001 1 39900369000 1 00000000000 0 08181312098 7
41682778,139.90,84680000001 6 39900369000 1 00000000000 0 08181432098 2
41682790,94.90,84630000000 3 94900369000 3 00000000000 0 08181562098 4
41682926,94.90,84670000000 9 94900369000 3 00000000000 0 08181642098 8
41683026,199.90,84620000001 2 99900369000 8 00000000000 0 08196672098 9
41683026,199.90,84620000001 2 99900369000 8 00000000000 0 08196672098 9
41688082,94.90,84640000000 2 94900369000 3 00000000000 0 08441262098 5
41688108,64.90,84670000000 9 64900369000 9 00000000000 0 08598502098 2
41688139,129.90,84670000001 7 29900369000 3 00000000000 0 08598612098 9
41688146,139.90,84660000001 8 39900369000 1 00000000000 0 08598702098 0
41688196,94.90,84620000000 4 94900369000 3 00000000000 0 08598832098 3
41688344,114.90,84650000001 9 14900369000 0 00000000000 0 08441382098 0
41742961,87.99,84600000000 6 87990369000 3 00000000000 0 08197462098 1
41743002,94.77,84600000000 6 94770369000 0 00000000000 0 08197642098 4
41743046,64.28,84630000000 3 64280369000 6 00000000000 0 08197702098 1
41743117,34.47,84660000000 0 34470369000 0 00000000000 0 08197752098 0
41743117,34.47,84660000000 0 34470369000 0 00000000000 0 08197752098 0
41743444,94.90,84610000000 5 94900369000 3 00000000000 0 08181812098 2
41749498,94.90,84680000000 8 94900369000 3 00000000000 0 08441482098 9
41749615,94.90,84690000000 7 94900369000 3 00000000000 0 08526562098 0
41749615,94.90,84690000000 7 94900369000 3 00000000000 0 08526562098 0
41749615,94.90,84690000000 7 94900369000 3 00000000000 0 08526562098 0
41771278,64.90,84640000000 2 64900369000 9 00000000000 0 08441672098 9
41771278,64.90,84640000000 2 64900369000 9 00000000000 0 08441672098 9
41771475,64.90,84600000000 6 64900369000 9 00000000000 0 08441742098 5
41771475,64.90,84600000000 6 64900369000 9 00000000000 0 08441742098 5
41771475,64.90,84600000000 6 64900369000 9 00000000000 0 08441742098 5
41771703,139.90,84660000001 8 39900369000 1 00000000000 0 08441812098 0
41771703,139.90,84660000001 8 39900369000 1 00000000000 0 08441812098 0
41771783,114.90,84600000001 4 14900369000 0 00000000000 0 08441882098 5
41771783,114.90,84600000001 4 14900369000 0 00000000000 0 08441882098 5
41771976,64.90,84610000000 5 64900369000 9 00000000000 0 08682732098 6
41771976,64.90,84610000000 5 64900369000 9 00000000000 0 08682732098 6
41772018,64.90,84690000000 7 64900369000 9 00000000000 0 08682882098 4
41772018,64.90,84690000000 7 64900369000 9 00000000000 0 08682882098 4
41772097,174.90,84630000001 1 74900369000 7 00000000000 0 08682992098 1
41772097,174.90,84630000001 1 74900369000 7 00000000000 0 08682992098 1
41772107,114.90,84650000001 9 14900369000 0 00000000000 0 08683082098 0
41772107,114.90,84650000001 9 14900369000 0 00000000000 0 08683082098 0
41772131,64.90,84680000000 8 64900369000 9 00000000000 0 09023202098 3
41772131,64.90,84680000000 8 64900369000 9 00000000000 0 09023202098 3
41772308,139.90,84630000001 1 39900369000 1 00000000000 0 09023372098 7
41772308,139.90,84630000001 1 39900369000 1 00000000000 0 09023372098 7
41772467,114.90,84670000001 7 14900369000 0 00000000000 0 09023492098 2
41772467,114.90,84670000001 7 14900369000 0 00000000000 0 09023492098 2
41775591,64.90,84650000000 1 64900369000 9 00000000000 0 08442042098 0
41775592,64.90,84610000000 5 64900369000 9 00000000000 0 08442202098 6
41775594,174.90,84690000001 5 74900369000 7 00000000000 0 08442292098 7
41775595,124.90,84650000001 9 24900369000 8 00000000000 0 08442412098 2
41775596,64.90,84670000000 9 64900369000 9 00000000000 0 08195572098 2
41775596,64.90,84670000000 9 64900369000 9 00000000000 0 08195572098 2
41775597,94.90,84660000000 0 94900369000 3 00000000000 0 08197862098 7
41775597,94.90,84660000000 0 94900369000 3 00000000000 0 08197862098 7
41775601,139.90,84630000001 1 39900369000 1 00000000000 0 08197912098 7
41775601,139.90,84630000001 1 39900369000 1 00000000000 0 08197912098 7
41775603,124.90,84670000001 7 24900369000 8 00000000000 0 08198012098 4
41775603,124.90,84670000001 7 24900369000 8 00000000000 0 08198012098 4
41776281,64.90,84630000000 3 64900369000 9 00000000000 0 08196772098 8
41776281,64.90,84630000000 3 64900369000 9 00000000000 0 08196772098 8
41776441,64.90,84680000000 8 64900369000 9 00000000000 0 08196892098 3
41776441,64.90,84680000000 8 64900369000 9 00000000000 0 08196892098 3
41776574,204.90,84680000002 4 04900369000 2 00000000000 0 08196992098 2
41776574,204.90,84680000002 4 04900369000 2 00000000000 0 08196992098 2
41776586,274.80,84660000002 6 74800369000 9 00000000000 0 08197122098 3
41776586,274.80,84660000002 6 74800369000 9 00000000000 0 08197122098 3
41776699,64.90,84640000000 2 64900369000 9 00000000000 0 08197282098 9
41776699,64.90,84640000000 2 64900369000 9 00000000000 0 08197282098 9
41776790,124.90,84610000001 3 24900369000 8 00000000000 0 08197432098 8
41776790,124.90,84610000001 3 24900369000 8 00000000000 0 08197432098 8
41776882,129.90,84630000001 1 29900369000 3 00000000000 0 08197542098 5
41776882,129.90,84630000001 1 29900369000 3 00000000000 0 08197542098 5
41776927,174.90,84680000001 6 74900369000 7 00000000000 0 08197632098 6
41776927,174.90,84680000001 6 74900369000 7 00000000000 0 08197632098 6
41776978,64.90,84600000000 6 64900369000 9 00000000000 0 08197732098 5
41776978,64.90,84600000000 6 64900369000 9 00000000000 0 08197732098 5
41777022,64.90,84600000000 6 64900369000 9 00000000000 0 08197872098 5
41777022,64.90,84600000000 6 64900369000 9 00000000000 0 08197872098 5
41777075,94.90,84610000000 5 94900369000 3 00000000000 0 08197982098 2
41777075,94.90,84610000000 5 94900369000 3 00000000000 0 08197982098 2
41777080,174.90,84650000001 9 74900369000 7 00000000000 0 08198062098 3
41777080,174.90,84650000001 9 74900369000 7 00000000000 0 08198062098 3
41778517,99.90,84650000000 1 99900369000 8 00000000000 0 08198262098 1
41778546,94.90,84610000000 5 94900369000 3 00000000000 0 08198402098 2
41778906,204.90,84650000002 7 04900369000 2 00000000000 0 08198512098 9
41778939,169.90,84610000001 3 69900369000 4 00000000000 0 08198642098 2
41779235,64.90,84640000000 2 64900369000 9 00000000000 0 08442522098 9
41779311,94.90,84600000000 6 94900369000 3 00000000000 0 08442702098 1
41779358,94.90,84690000000 7 94900369000 3 00000000000 0 08442802098 0
41779383,159.90,84670000001 7 59900369000 6 00000000000 0 08442962098 6
41779625,64.90,84670000000 9 64900369000 9 00000000000 0 09023682098 2
41779625,64.90,84670000000 9 64900369000 9 00000000000 0 09023682098 2
41779658,64.90,84690000000 7 64900369000 9 00000000000 0 09023912098 4
41779658,64.90,84690000000 7 64900369000 9 00000000000 0 09023912098 4
41779687,249.90,84650000002 7 49900369000 9 00000000000 0 09024052098 2
41779687,249.90,84650000002 7 49900369000 9 00000000000 0 09024052098 2
41779751,224.90,84650000002 7 24900369000 8 00000000000 0 09024242098 3
41779751,224.90,84650000002 7 24900369000 8 00000000000 0 09024242098 3
41781994,64.90,84600000000 6 64900369000 9 00000000000 0 08526682098 5
41781994,64.90,84600000000 6 64900369000 9 00000000000 0 08526682098 5
41782156,249.90,84610000002 1 49900369000 9 00000000000 0 08526812098 8
41782156,249.90,84610000002 1 49900369000 9 00000000000 0 08526812098 8
41782197,224.90,84650000002 7 24900369000 8 00000000000 0 08526882098 3
41782197,224.90,84650000002 7 24900369000 8 00000000000 0 08526882098 3
41782338,64.90,84670000000 9 64900369000 9 00000000000 0 08198782098 2
41782338,64.90,84670000000 9 64900369000 9 00000000000 0 08198782098 2
41782357,94.90,84630000000 3 94900369000 3 00000000000 0 08526972098 4
41782357,94.90,84630000000 3 94900369000 3 00000000000 0 08526972098 4
41782541,94.90,84680000000 8 94900369000 3 00000000000 0 08917812098 9
41782541,94.90,84680000000 8 94900369000 3 00000000000 0 08917812098 9
41782661,64.90,84660000000 0 64900369000 9 00000000000 0 08200472098 1
41782661,64.90,84660000000 0 64900369000 9 00000000000 0 08200472098 1
41782776,139.90,84640000001 0 39900369000 1 00000000000 0 08918092098 8
41782776,139.90,84640000001 0 39900369000 1 00000000000 0 08918092098 8
41782853,114.90,84660000001 8 14900369000 0 00000000000 0 08918222098 1
41782853,114.90,84660000001 8 14900369000 0 00000000000 0 08918222098 1
41783135,94.90,84660000000 0 94900369000 3 00000000000 0 08200542098 7
41783135,94.90,84660000000 0 94900369000 3 00000000000 0 08200542098 7
41783233,194.90,84610000001 3 94900369000 3 00000000000 0 08200652098 3
41783233,194.90,84610000001 3 94900369000 3 00000000000 0 08200652098 3
41785520,64.90,84650000000 1 64900369000 9 00000000000 0 08181962098 0
41785520,64.90,84650000000 1 64900369000 9 00000000000 0 08181962098 0
41785630,64.90,84660000000 0 64900369000 9 00000000000 0 08182092098 1
41785630,64.90,84660000000 0 64900369000 9 00000000000 0 08182092098 1
41785645,464.90,84640000004 4 64900369000 9 00000000000 0 08891922098 3
41785645,464.90,84640000004 4 64900369000 9 00000000000 0 08891922098 3
41785685,139.90,84680000001 6 39900369000 1 00000000000 0 08182182098 2
41785685,139.90,84680000001 6 39900369000 1 00000000000 0 08182182098 2
